Date,Open,High,Low,Close,Adj Close,Volume
3/7/2019,49.509998,49.799999,48.759998,49.59,48.283379,8183600
3/8/2019,49.25,49.599998,48.919998,49.59,48.283379,8570100
3/11/2019,49.799999,51.290001,49.77,51.119999,49.773064,8868100
3/12/2019,51.189999,51.32,50.02,50.669998,49.334919,8073900
3/13/2019,50.98,51.09,50.080002,51.02,49.675705,10536300
3/14/2019,51.380001,52.080002,50.84,50.939999,49.597809,8048800
3/15/2019,51.290001,51.470001,50.98,51.189999,49.841221,8192400
3/18/2019,51.07,51.25,50.529999,50.740002,49.40308,6415200
3/19/2019,50.990002,51.389999,50.82,50.959999,49.617279,5606600
3/20/2019,50.889999,50.889999,49.77,49.869999,48.556,7753000
3/21/2019,49.709999,50.610001,49.700001,50.299999,48.97467,5128700
3/22/2019,50.040001,50.240002,49.52,49.759998,48.448898,5896200
3/25/2019,49.599998,50.040001,48.970001,49.029999,47.738136,6454000
3/26/2019,49.360001,49.630001,48.68,49.09,47.796551,5321500
3/27/2019,49.049999,50.529999,48.98,49.970001,48.653366,7907200
3/28/2019,50.110001,50.650002,49.900002,50.32,48.994148,6600100
3/29/2019,50.73,51.75,50.380001,51.650002,50.289101,9162100
4/1/2019,51.82,52.330002,51.52,52.18,50.805138,8501400
4/2/2019,54.529999,55.939999,53.919998,55.330002,53.872143,15920700
4/3/2019,55.959999,57.57,55.810001,57,55.498138,13299500
4/4/2019,57.459999,57.669998,56.369999,57.220001,55.712341,8998000
4/5/2019,57.439999,58.200001,57.330002,57.73,56.208904,6918300
4/8/2019,57.5,57.900002,56.91,57.709999,56.189434,7921600
4/9/2019,57.200001,57.439999,56.779999,56.950001,55.449459,9581600
4/10/2019,58.970001,58.970001,56.77,57.860001,56.33548,14398200
4/11/2019,57.950001,58.84,57.82,58.389999,56.851509,8452400
4/12/2019,58.830002,58.84,57.549999,58.049999,56.520473,7693900
4/15/2019,58,58.490002,57.369999,57.450001,55.936283,5327000
4/16/2019,57.66,58.119999,57.650002,58.110001,56.578896,3970200
4/17/2019,58.849998,58.990002,58.09,58.43,56.890461,4987600
4/18/2019,58.5,58.580002,58.02,58.169998,56.63731,4108100
4/22/2019,57.790001,57.970001,57.279999,57.75,56.228378,4043900
4/23/2019,57.66,58.41,57.66,58.240002,56.705467,4593000
4/24/2019,58.240002,58.529999,57.799999,57.849998,56.325737,3275200
4/25/2019,57.84,58.48,56.380001,56.709999,55.215778,5557400
4/26/2019,56.560001,57.470001,56.48,57.110001,55.60524,3714100
4/29/2019,57.240002,57.900002,57.049999,57.73,56.208904,3215500
4/30/2019,57.82,58.57,57.759998,58.290001,56.75415,4030300
5/1/2019,58.200001,58.509998,57.110001,57.18,56.009705,5629800
5/2/2019,57.32,58.080002,57.25,57.66,56.479877,3426100
5/3/2019,57.73,58.139999,57.52,57.799999,56.617012,4673000
5/6/2019,56.98,57.970001,56.740002,57.73,56.548447,4105400
5/7/2019,57.25,57.5,56.330002,57.169998,55.999908,4784800
5/8/2019,56.77,57.080002,56.18,56.450001,55.294643,3641400
5/9/2019,56.139999,56.73,55.689999,56.59,55.431782,5003500
5/10/2019,56.25,56.869999,55.060001,56.619999,55.461163,3737800
5/13/2019,55.439999,55.52,54.07,54.799999,53.67841,5223700
5/14/2019,54.900002,55.630001,54.75,55.25,54.119205,2463400
5/15/2019,54.580002,55.369999,54.09,55.049999,53.923298,2998900
5/16/2019,55.139999,55.959999,55.139999,55.380001,54.246544,2731400
5/17/2019,54.759998,55.540001,54.490002,54.889999,53.766575,3969900
5/20/2019,54,54.669998,53.75,54.279999,53.169056,3722800
5/21/2019,54.68,55.029999,54.59,54.830002,53.707802,2816800
5/22/2019,54.490002,54.84,53.889999,54.060001,52.95356,3616700
5/23/2019,53.650002,54.950001,53.240002,54,52.894787,5278900
5/24/2019,54.419998,54.619999,53.709999,54.119999,53.012333,2502800
5/28/2019,54.139999,54.630001,53.869999,53.880001,52.777245,3454100
5/29/2019,53.75,53.75,52.810001,53.209999,52.120956,3929600
5/30/2019,53.380001,53.799999,52.869999,53.029999,51.944637,3775200
5/31/2019,52.470001,52.799999,51.310001,51.5,50.445953,5615100
6/3/2019,51.48,52.700001,51.41,52.099998,51.033672,7244600
6/4/2019,52.849998,54.369999,52.82,54.310001,53.198444,7619300
6/5/2019,54.849998,55.23,54.240002,54.939999,53.815548,6379100
6/6/2019,55.060001,55.220001,54.360001,54.689999,53.57066,6192000
6/7/2019,54.919998,55.849998,54.919998,55.07,53.94289,4234800
6/10/2019,55.5,55.900002,54.650002,54.73,53.609848,3312900
6/11/2019,55.02,55.310001,54.48,54.880001,53.756775,2833700
6/12/2019,55.049999,55.48,54.900002,55.450001,54.315113,3856200
6/13/2019,55.689999,57.240002,55.669998,56.52,55.363213,6300400
