Date,Open,High,Low,Close,Adj Close,Volume
3/7/2019,7.37,7.37,7.37,7.37,7.118993,0
3/8/2019,7.37,7.37,7.37,7.37,7.118993,0
3/11/2019,7.37,7.37,7.37,7.37,7.118993,0
3/12/2019,7.23,7.23,7.23,7.23,6.983761,1000
3/13/2019,7.23,7.23,7.23,7.23,6.983761,0
3/14/2019,7.26,7.26,7.26,7.26,7.01274,200
3/15/2019,7.26,7.26,7.26,7.26,7.01274,0
3/18/2019,7.26,7.26,7.26,7.26,7.01274,0
3/19/2019,7.26,7.26,7.26,7.26,7.01274,0
3/20/2019,7.26,7.26,7.26,7.26,7.01274,0
3/21/2019,7.26,7.26,7.26,7.26,7.01274,200
3/22/2019,7.26,7.26,7.26,7.26,7.01274,0
3/25/2019,7.26,7.26,7.26,7.26,7.01274,100
3/26/2019,7.26,7.26,7.26,7.26,7.01274,0
3/27/2019,6.83,6.83,6.83,6.83,6.597384,200
3/28/2019,7.05,7.05,7.04,7.04,6.800232,500
3/29/2019,7.19,7.19,7.19,7.19,6.945124,1400
4/1/2019,7.19,7.19,7.19,7.19,6.945124,0
4/2/2019,7.25,7.26,7.15,7.15,6.906486,700
4/3/2019,7.22,7.22,7.18,7.18,6.935464,900
4/4/2019,7.18,7.18,7.18,7.18,6.935464,0
4/5/2019,7.18,7.18,7.18,7.18,6.935464,100
4/8/2019,7.28,7.28,7.28,7.28,7.032059,1300
4/9/2019,7.28,7.28,7.28,7.28,7.032059,0
4/10/2019,7.28,7.28,7.21,7.21,6.964442,200
4/11/2019,7.21,7.21,7.21,7.21,6.964442,0
4/12/2019,7.21,7.21,7.21,7.21,6.964442,0
4/15/2019,7.21,7.21,7.21,7.21,6.964442,0
4/16/2019,7.21,7.21,7.21,7.21,6.964442,8000
4/17/2019,7.21,7.21,7.21,7.21,6.964442,0
4/18/2019,7.24,7.24,7.24,7.24,6.993421,600
4/22/2019,7.24,7.24,7.24,7.24,6.993421,100
4/23/2019,7.22,7.22,7.22,7.22,6.974102,300
4/24/2019,7.22,7.22,7.22,7.22,6.974102,0
4/25/2019,7.22,7.22,7.22,7.22,6.974102,100
4/26/2019,7.22,7.22,7.22,7.22,6.974102,0
4/29/2019,7.22,7.22,7.22,7.22,6.974102,0
4/30/2019,7.22,7.22,7.22,7.22,6.974102,0
5/1/2019,7.22,7.22,7.22,7.22,6.974102,0
5/2/2019,6.94,6.94,6.94,6.94,6.703638,100
5/3/2019,6.94,6.94,6.94,6.94,6.703638,0
5/6/2019,7.04,7.04,6.94,6.96,6.722957,1400
5/7/2019,7.07,7.07,7.07,7.07,6.829211,400
5/8/2019,7.02,7.02,7.02,7.02,6.780913,600
5/9/2019,7.04,7.04,7.04,7.04,6.800232,100
5/10/2019,7.04,7.04,7.04,7.04,6.800232,0
5/13/2019,7.04,7.04,7.04,7.04,6.800232,0
5/14/2019,7.04,7.04,7.04,7.04,6.800232,0
5/15/2019,6.96,6.96,6.92,6.92,6.684319,700
5/16/2019,6.9,6.98,6.9,6.98,6.742276,600
5/17/2019,6.85,6.85,6.85,6.85,6.616703,1800
5/20/2019,6.85,6.85,6.85,6.85,6.616703,0
5/21/2019,6.68,6.68,6.63,6.63,6.404196,1100
5/22/2019,6.63,6.63,6.63,6.63,6.404196,0
5/23/2019,6.64,6.64,6.64,6.64,6.413855,200
5/24/2019,6.64,6.64,6.64,6.64,6.413855,100
5/28/2019,6.59,6.7,6.59,6.7,6.471812,1700
5/29/2019,6.7,6.7,6.7,6.7,6.471812,0
5/30/2019,6.7,6.7,6.7,6.7,6.471812,0
5/31/2019,6.64,6.68,6.64,6.68,6.452493,51000
6/3/2019,6.74,6.74,6.74,6.74,6.510449,300
6/4/2019,6.74,6.74,6.74,6.74,6.510449,0
6/5/2019,6.74,6.74,6.74,6.74,6.510449,100
6/6/2019,6.71,6.74,6.71,6.74,6.510449,200
6/7/2019,6.7,6.7,6.7,6.7,6.471812,2600
6/10/2019,6.76,6.76,6.62,6.62,6.394536,2400
6/11/2019,6.62,6.62,6.62,6.62,6.394536,100
6/12/2019,6.62,6.62,6.62,6.62,6.394536,0
6/13/2019,6.62,6.62,6.62,6.62,6.394536,56000
6/14/2019,6.62,6.62,6.62,6.62,6.394536,0
6/17/2019,6.68,6.68,6.68,6.68,6.452493,200
6/18/2019,6.68,6.68,6.68,6.68,6.452493,100
6/19/2019,6.68,6.68,6.68,6.68,6.452493,100
6/20/2019,6.97,6.97,6.97,6.97,6.732616,4500
6/21/2019,6.97,6.97,6.97,6.97,6.732616,0
6/24/2019,6.97,6.97,6.97,6.97,6.732616,0
6/25/2019,6.97,6.97,6.97,6.97,6.732616,0
6/26/2019,6.97,6.97,6.97,6.97,6.732616,0
6/27/2019,6.97,6.97,6.97,6.97,6.732616,0
6/28/2019,6.97,6.97,6.97,6.97,6.732616,0
7/1/2019,6.97,6.97,6.97,6.97,6.732616,0
7/2/2019,6.97,6.97,6.97,6.97,6.732616,0
7/3/2019,6.97,6.97,6.97,6.97,6.732616,0
7/5/2019,6.97,6.97,6.97,6.97,6.732616,100
7/8/2019,6.97,6.97,6.97,6.97,6.732616,0
7/9/2019,6.97,6.97,6.97,6.97,6.732616,0
7/10/2019,7,7.01,7,7,6.761594,4800
7/11/2019,7,7,7,7,6.761594,124700
7/12/2019,7,7,7,7,6.761594,0
7/15/2019,7,7,7,7,6.761594,0
7/16/2019,7,7,7,7,6.761594,0
7/17/2019,7,7,7,7,6.761594,0
7/18/2019,7,7,7,7,6.761594,0
7/19/2019,7,7,7,7,6.761594,16900
7/22/2019,7,7.03,7,7.03,6.790573,500
7/23/2019,7.07,7.07,7.04,7.04,6.800232,300
7/24/2019,7.04,7.04,7.04,7.04,6.800232,0
7/25/2019,7.04,7.04,7.04,7.04,6.800232,100
7/26/2019,7,7,7,7,6.761594,1400
7/29/2019,7,7,7,7,6.761594,1400
7/30/2019,7.04,7.04,7.04,7.04,6.800232,1900
7/31/2019,7.04,7.04,7.04,7.04,6.800232,1900
8/1/2019,6.6,6.69,6.6,6.69,6.612435,1200
8/2/2019,6.53,6.53,6.53,6.53,6.45429,100
8/5/2019,6.42,6.5,6.42,6.5,6.424638,1000
8/6/2019,6.57,6.57,6.57,6.57,6.493826,2300
8/7/2019,6.57,6.57,6.57,6.57,6.493826,700
8/8/2019,6.57,6.57,6.57,6.57,6.493826,700
8/9/2019,6.57,6.57,6.57,6.57,6.493826,100
8/12/2019,6.5,6.5,6.5,6.5,6.424638,1200
8/13/2019,6.5,6.5,6.5,6.5,6.424638,1200
8/14/2019,6.5,6.5,6.5,6.5,6.424638,1200
8/15/2019,6.5,6.5,6.5,6.5,6.424638,1200
8/16/2019,6.5,6.5,6.5,6.5,6.424638,0
8/19/2019,6.53,6.53,6.53,6.53,6.45429,3000
8/20/2019,6.53,6.53,6.53,6.53,6.45429,0
8/21/2019,6.53,6.53,6.53,6.53,6.45429,0
8/22/2019,6.53,6.53,6.53,6.53,6.45429,0
8/23/2019,6.49,6.49,6.49,6.49,6.414753,6000
8/26/2019,6.49,6.49,6.49,6.49,6.414753,0
8/27/2019,6.49,6.49,6.49,6.49,6.414753,0
8/28/2019,6.49,6.49,6.49,6.49,6.414753,0
8/29/2019,6.49,6.49,6.49,6.49,6.414753,0
8/30/2019,6.49,6.49,6.49,6.49,6.414753,0
9/3/2019,6.49,6.49,6.49,6.49,6.414753,0
9/4/2019,6.49,6.49,6.49,6.49,6.414753,0
9/5/2019,6.54,6.54,6.54,6.54,6.464174,107300
9/6/2019,6.54,6.54,6.54,6.54,6.464174,0
9/9/2019,6.57,6.57,6.57,6.57,6.493826,200
9/10/2019,6.63,6.63,6.63,6.63,6.553131,600
9/11/2019,6.57,6.57,6.57,6.57,6.493826,400
9/12/2019,6.72,6.72,6.67,6.67,6.592667,300
9/13/2019,6.67,6.67,6.67,6.67,6.592667,0
9/16/2019,6.67,6.67,6.67,6.67,6.592667,0
9/17/2019,6.67,6.67,6.67,6.67,6.592667,0
9/18/2019,6.67,6.67,6.67,6.67,6.592667,700
9/19/2019,6.67,6.67,6.67,6.67,6.592667,0
9/20/2019,6.67,6.67,6.67,6.67,6.592667,100
9/23/2019,6.67,6.67,6.67,6.67,6.592667,0
9/24/2019,6.67,6.67,6.67,6.67,6.592667,0
9/25/2019,6.67,6.67,6.67,6.67,6.592667,0
9/26/2019,6.67,6.67,6.67,6.67,6.592667,0
9/27/2019,6.67,6.67,6.67,6.67,6.592667,100
9/30/2019,6.67,6.67,6.67,6.67,6.592667,0
10/1/2019,6.67,6.67,6.67,6.67,6.592667,0
10/2/2019,6.56,6.56,6.56,6.56,6.483942,48000
10/3/2019,6.56,6.56,6.56,6.56,6.483942,0
10/4/2019,6.56,6.56,6.56,6.56,6.483942,0
10/7/2019,6.56,6.56,6.56,6.56,6.483942,0
10/8/2019,6.56,6.56,6.56,6.56,6.483942,0
10/9/2019,6.56,6.56,6.56,6.56,6.483942,0
10/10/2019,6.56,6.56,6.56,6.56,6.483942,0
10/11/2019,6.56,6.56,6.56,6.56,6.483942,0
10/14/2019,6.56,6.56,6.56,6.56,6.483942,0
10/15/2019,6.56,6.56,6.56,6.56,6.483942,0
10/16/2019,6.56,6.56,6.56,6.56,6.483942,0
10/17/2019,6.77,6.78,6.77,6.78,6.701392,200
10/18/2019,6.78,6.78,6.78,6.78,6.701392,0
10/21/2019,6.78,6.78,6.78,6.78,6.701392,0
10/22/2019,6.6,6.6,6.6,6.6,6.523479,500
10/23/2019,6.6,6.6,6.6,6.6,6.523479,0
10/24/2019,6.6,6.6,6.6,6.6,6.523479,0
10/25/2019,6.68,6.68,6.68,6.68,6.602551,1500
10/28/2019,6.68,6.68,6.68,6.68,6.602551,0
10/29/2019,6.7,6.7,6.7,6.7,6.622319,2000
10/30/2019,6.7,6.7,6.7,6.7,6.622319,100
10/31/2019,6.7,6.7,6.7,6.7,6.622319,0
11/1/2019,6.96,6.96,6.96,6.96,6.879304,1100
11/4/2019,6.96,6.96,6.96,6.96,6.879304,0
11/5/2019,6.9,6.9,6.9,6.9,6.82,4200
11/6/2019,6.9,6.9,6.9,6.9,6.82,0
11/7/2019,6.9,6.9,6.9,6.9,6.82,0
11/8/2019,6.9,6.9,6.9,6.9,6.82,0
11/11/2019,6.9,6.9,6.9,6.9,6.82,0
11/12/2019,6.9,6.9,6.9,6.9,6.82,0
11/13/2019,6.9,6.9,6.9,6.9,6.82,0
11/14/2019,6.9,6.9,6.9,6.9,6.9,0
11/15/2019,6.9,6.9,6.9,6.9,6.9,0
11/18/2019,6.9,6.9,6.9,6.9,6.9,0
11/19/2019,6.9,6.9,6.9,6.9,6.9,0
11/20/2019,6.9,6.9,6.9,6.9,6.9,0
11/21/2019,6.9,6.9,6.9,6.9,6.9,0
11/22/2019,6.9,6.9,6.9,6.9,6.9,0
11/25/2019,6.9,6.9,6.9,6.9,6.9,0
11/26/2019,6.74,6.81,6.74,6.81,6.81,700
11/27/2019,6.67,6.67,6.67,6.67,6.67,4200
11/29/2019,6.67,6.67,6.67,6.67,6.67,0
12/2/2019,6.67,6.67,6.67,6.67,6.67,0
12/3/2019,6.67,6.67,6.67,6.67,6.67,0
12/4/2019,6.67,6.67,6.67,6.67,6.67,0
12/5/2019,6.67,6.67,6.67,6.67,6.67,0
12/6/2019,6.67,6.67,6.67,6.67,6.67,0
12/9/2019,6.63,6.63,6.6,6.6,6.6,400
12/10/2019,6.58,6.58,6.57,6.57,6.57,300
12/11/2019,6.57,6.57,6.57,6.57,6.57,0
12/12/2019,6.57,6.57,6.57,6.57,6.57,0
12/13/2019,6.55,6.64,6.55,6.64,6.64,1100
12/16/2019,6.68,6.77,6.68,6.77,6.77,17500
12/17/2019,6.77,6.77,6.77,6.77,6.77,0
12/18/2019,6.77,6.77,6.77,6.77,6.77,0
12/19/2019,6.77,6.77,6.77,6.77,6.77,0
12/20/2019,6.77,6.77,6.77,6.77,6.77,0
12/23/2019,6.77,6.77,6.77,6.77,6.77,0
12/24/2019,6.65,6.65,6.64,6.64,6.64,300
12/26/2019,6.64,6.64,6.64,6.64,6.64,0
12/27/2019,6.7,6.7,6.56,6.56,6.56,1100
12/30/2019,6.56,6.56,6.56,6.56,6.56,1000
12/31/2019,6.6,6.6,6.6,6.6,6.6,800
1/2/2020,6.72,6.72,6.72,6.72,6.72,400
1/3/2020,6.72,6.72,6.72,6.72,6.72,0
1/6/2020,6.72,6.72,6.72,6.72,6.72,0
1/7/2020,6.72,6.72,6.72,6.72,6.72,0
1/8/2020,6.72,6.72,6.72,6.72,6.72,0
1/9/2020,6.72,6.72,6.72,6.72,6.72,0
1/10/2020,6.72,6.72,6.72,6.72,6.72,0
1/13/2020,6.72,6.72,6.72,6.72,6.72,0
1/14/2020,6.72,6.72,6.72,6.72,6.72,0
1/15/2020,6.72,6.72,6.72,6.72,6.72,0
1/16/2020,6.72,6.72,6.72,6.72,6.72,0
1/17/2020,6.72,6.72,6.72,6.72,6.72,0
1/21/2020,6.72,6.72,6.72,6.72,6.72,0
1/22/2020,6.72,6.72,6.72,6.72,6.72,0
1/23/2020,6.59,6.59,6.59,6.59,6.59,100
1/24/2020,6.59,6.59,6.59,6.59,6.59,0
1/27/2020,6.47,6.53,6.47,6.53,6.53,1200
1/28/2020,6,6,6,6,6,1900
1/29/2020,6.24,6.45,6.1,6.45,6.45,6300
1/30/2020,6.21,6.27,6.21,6.27,6.27,2100
1/31/2020,6.11,6.11,6.11,6.11,6.11,9000
2/3/2020,6.21,6.21,6.19,6.19,6.19,900
2/4/2020,6.19,6.19,6.19,6.19,6.19,0
2/5/2020,6.21,6.21,6.21,6.21,6.21,1000
2/6/2020,6.21,6.21,6.21,6.21,6.21,0
2/7/2020,6.21,6.21,6.21,6.21,6.21,17000
2/10/2020,6.21,6.21,6.21,6.21,6.21,0
2/11/2020,6.26,6.26,6.2,6.21,6.21,5000
2/12/2020,6.21,6.21,6.21,6.21,6.21,0
2/13/2020,6.21,6.21,6.21,6.21,6.21,500
2/14/2020,6.25,6.25,6.25,6.25,6.25,100
2/18/2020,6.27,6.27,6.27,6.27,6.27,100
2/19/2020,6.18,6.18,6.18,6.18,6.18,100
2/20/2020,6.13,6.13,6.13,6.13,6.13,22400
2/21/2020,6.13,6.13,6.13,6.13,6.13,5200
2/24/2020,6.1,6.12,6.07,6.07,6.07,500
2/25/2020,6.07,6.07,6,6.02,6.02,8300
2/26/2020,6.05,6.05,5.91,5.91,5.91,16200
2/27/2020,5.92,5.92,5.65,5.89,5.89,14800
2/28/2020,5.82,5.82,5.82,5.82,5.82,1000
3/2/2020,5.86,5.86,5.67,5.76,5.76,3000
3/3/2020,5.8,5.86,5.71,5.71,5.71,12400
3/4/2020,5.87,5.88,5.75,5.8,5.8,4800
3/5/2020,5.74,5.82,5.63,5.7,5.7,17400
3/6/2020,5.7,5.7,5.7,5.7,5.7,0
