Date,Open,High,Low,Close,Adj Close,Volume
3/7/2019,14.38,14.38,14.38,14.38,13.936367,0
3/8/2019,14.38,14.38,14.38,14.38,13.936367,0
3/11/2019,14.38,14.38,14.38,14.38,13.936367,0
3/12/2019,14.52,14.52,14.52,14.52,14.072049,100
3/13/2019,14.52,14.52,14.52,14.52,14.072049,0
3/14/2019,14.52,14.52,14.52,14.52,14.072049,100
3/15/2019,14.52,14.52,14.52,14.52,14.072049,0
3/18/2019,14.52,14.52,14.52,14.52,14.072049,100
3/19/2019,14.52,14.52,14.52,14.52,14.072049,0
3/20/2019,14.48,14.48,14.48,14.48,14.033282,200
3/21/2019,14.48,14.48,14.48,14.48,14.033282,100
3/22/2019,14.48,14.48,14.48,14.48,14.033282,0
3/25/2019,14.28,14.45,14.28,14.45,14.004208,2700
3/26/2019,14.41,14.41,14.38,14.38,13.936367,2100
3/27/2019,14.25,14.25,14.25,14.25,13.810377,300
3/28/2019,14.25,14.25,14.25,14.25,13.810377,100
3/29/2019,14.25,14.25,14.25,14.25,13.810377,0
4/1/2019,14.25,14.25,14.25,14.25,13.810377,100
4/2/2019,14.25,14.25,14.25,14.25,13.810377,0
4/3/2019,14.25,14.25,14.25,14.25,13.810377,100
4/4/2019,14.25,14.25,14.25,14.25,13.810377,0
4/5/2019,14.25,14.25,14.25,14.25,13.810377,0
4/8/2019,14.47,14.47,14.47,14.47,14.023591,1000
4/9/2019,14.47,14.47,14.47,14.47,14.023591,100
4/10/2019,14.47,14.47,14.47,14.47,14.023591,0
4/11/2019,14.47,14.47,14.47,14.47,14.023591,0
4/12/2019,14.47,14.47,14.47,14.47,14.023591,0
4/15/2019,14.47,14.47,14.47,14.47,14.023591,100
4/16/2019,14.47,14.47,14.47,14.47,14.023591,0
4/17/2019,14.47,14.47,14.47,14.47,14.023591,100
4/18/2019,14.5,14.6,14.5,14.6,14.149581,200
4/22/2019,14.6,14.6,14.6,14.6,14.149581,0
4/23/2019,14.6,14.6,14.6,14.6,14.149581,0
4/24/2019,14.6,14.6,14.6,14.6,14.149581,100
4/25/2019,14.6,14.6,14.6,14.6,14.149581,100
4/26/2019,14.46,14.46,14.46,14.46,14.0139,500
4/29/2019,14.46,14.46,14.46,14.46,14.0139,100
4/30/2019,14.46,14.46,14.46,14.46,14.0139,0
5/1/2019,14.46,14.46,14.46,14.46,14.0139,0
5/2/2019,14.46,14.46,14.46,14.46,14.0139,100
5/3/2019,14.13,14.13,14.1,14.1,13.665006,2300
5/6/2019,14.23,14.23,14.23,14.23,13.790995,1000
5/7/2019,13.93,13.93,13.87,13.87,13.442101,1400
5/8/2019,13.87,13.87,13.87,13.87,13.442101,0
5/9/2019,13.87,13.87,13.87,13.87,13.442101,0
5/10/2019,13.87,13.87,13.87,13.87,13.442101,100
5/13/2019,13.87,13.87,13.87,13.87,13.442101,100
5/14/2019,13.87,13.87,13.87,13.87,13.442101,100
5/15/2019,13.87,13.87,13.87,13.87,13.442101,100
5/16/2019,13.87,13.87,13.87,13.87,13.442101,0
5/17/2019,13.87,13.87,13.87,13.87,13.442101,0
5/20/2019,13.5,13.5,13.5,13.5,13.083516,200
5/21/2019,13.5,13.5,13.5,13.5,13.083516,100
5/22/2019,13.52,13.52,13.52,13.52,13.1029,100
5/23/2019,13.01,13.01,13.01,13.01,12.608633,100
5/24/2019,13.01,13.01,13.01,13.01,12.608633,100
5/28/2019,13.01,13.01,13.01,13.01,12.608633,100
5/29/2019,13.01,13.17,13.01,13.01,12.608633,1400
5/30/2019,13.01,13.01,13.01,13.01,12.608633,100
5/31/2019,13.01,13.01,13.01,13.01,12.608633,100
6/3/2019,13.01,13.01,13.01,13.01,12.608633,0
6/4/2019,13.47,13.47,13.47,13.47,13.054441,200
6/5/2019,13.47,13.47,13.47,13.47,13.054441,100
6/6/2019,13.47,13.47,13.47,13.47,13.054441,0
6/7/2019,13.47,13.47,13.47,13.47,13.054441,0
6/10/2019,13.47,13.47,13.47,13.47,13.054441,0
6/11/2019,13.47,13.47,13.47,13.47,13.054441,0
6/12/2019,13.47,13.47,13.47,13.47,13.054441,0
6/13/2019,13.47,13.47,13.47,13.47,13.054441,100
6/14/2019,13.35,13.35,13.33,13.35,12.938144,500
6/17/2019,13.35,13.35,13.35,13.35,12.938144,0
6/18/2019,13.35,13.35,13.35,13.35,12.938144,0
6/19/2019,13.35,13.35,13.35,13.35,12.938144,100
6/20/2019,13.35,13.35,13.35,13.35,12.938144,100
6/21/2019,13.35,13.35,13.35,13.35,12.938144,200
6/24/2019,13.35,13.35,13.35,13.35,12.938144,0
6/25/2019,13.35,13.35,13.35,13.35,12.938144,0
6/26/2019,13.35,13.35,13.35,13.35,12.938144,100
6/27/2019,13.35,13.35,13.35,13.35,12.938144,100
6/28/2019,13.57,13.57,13.57,13.57,13.151356,200
7/1/2019,13.57,13.57,13.57,13.57,13.151356,0
7/2/2019,13.57,13.57,13.57,13.57,13.151356,100
7/3/2019,13.57,13.57,13.57,13.57,13.151356,0
7/5/2019,13.57,13.57,13.57,13.57,13.151356,0
7/8/2019,13.57,13.57,13.57,13.57,13.151356,0
7/9/2019,13.57,13.57,13.57,13.57,13.151356,100
7/10/2019,13.57,13.57,13.57,13.57,13.151356,100
7/11/2019,14.07,14.07,14.07,14.07,13.63593,800
7/12/2019,14.07,14.07,14.07,14.07,13.63593,100
7/15/2019,14.07,14.07,14.07,14.07,13.63593,100
7/16/2019,14.07,14.07,14.07,14.07,13.63593,0
7/17/2019,13.83,13.83,13.83,13.83,13.403335,300
7/18/2019,13.83,13.83,13.83,13.83,13.403335,0
7/19/2019,13.83,13.83,13.83,13.83,13.403335,0
7/22/2019,14.27,14.27,14.27,14.27,13.829762,400
7/23/2019,14.27,14.27,14.27,14.27,13.829762,100
7/24/2019,14.27,14.27,14.27,14.27,13.829762,0
7/25/2019,14.27,14.27,14.27,14.27,13.829762,100
7/26/2019,14.27,14.27,14.27,14.27,13.829762,0
7/29/2019,14.27,14.27,14.27,14.27,13.829762,0
7/30/2019,14.24,14.24,14.24,14.24,13.800687,100
7/31/2019,14.09,14.09,14.09,14.09,13.967223,100
8/1/2019,14.09,14.09,14.09,14.09,13.967223,100
8/2/2019,13.01,13.26,13,13.26,13.144456,400
8/5/2019,13.19,13.19,13.19,13.19,13.075065,300
8/6/2019,12.97,12.97,12.9,12.93,12.817331,1400
8/7/2019,12.97,12.97,12.9,12.93,12.817331,100
8/8/2019,13,13,13,13,12.886721,1200
8/9/2019,13.03,13.03,12.9,13.03,12.916459,700
8/12/2019,13.1,13.1,13.1,13.1,12.985849,100
8/13/2019,13.24,13.24,12.99,12.99,12.876808,800
8/14/2019,12.9,12.9,12.9,12.9,12.787592,100
8/15/2019,12.9,12.9,12.9,12.9,12.787592,100
8/16/2019,12.9,12.9,12.9,12.9,12.787592,0
8/19/2019,12.9,12.9,12.9,12.9,12.787592,0
8/20/2019,12.9,12.9,12.9,12.9,12.787592,0
8/21/2019,12.9,12.9,12.9,12.9,12.787592,0
8/22/2019,12.9,12.9,12.9,12.9,12.787592,0
8/23/2019,12.9,12.9,12.9,12.9,12.787592,0
8/26/2019,12.9,12.9,12.9,12.9,12.787592,0
8/27/2019,12.73,12.95,12.73,12.9,12.787592,400
8/28/2019,12.7,12.7,12.7,12.7,12.589334,100
8/29/2019,12.7,12.7,12.7,12.7,12.589334,0
8/30/2019,12.7,12.7,12.7,12.7,12.589334,0
9/3/2019,12.7,12.7,12.7,12.7,12.589334,0
9/4/2019,12.83,12.83,12.83,12.83,12.718202,200
9/5/2019,12.83,12.83,12.83,12.83,12.718202,0
9/6/2019,13.22,13.22,13.22,13.22,13.104804,100
9/9/2019,13.22,13.22,13.22,13.22,13.104804,0
9/10/2019,13.22,13.22,13.22,13.22,13.104804,500
9/11/2019,13.22,13.22,13.22,13.22,13.104804,100
9/12/2019,13.22,13.22,13.22,13.22,13.104804,0
9/13/2019,13.22,13.22,13.22,13.22,13.104804,0
9/16/2019,13.22,13.22,13.22,13.22,13.104804,0
9/17/2019,13.22,13.22,13.22,13.22,13.104804,0
9/18/2019,13.45,13.45,13.45,13.45,13.3328,200
9/19/2019,13.26,13.26,13.26,13.26,13.144456,500
9/20/2019,13.42,13.42,13.42,13.42,13.303061,400
9/23/2019,13.42,13.42,13.42,13.42,13.303061,0
9/24/2019,13.42,13.42,13.42,13.42,13.303061,0
9/25/2019,13.42,13.42,13.42,13.42,13.303061,0
9/26/2019,13.42,13.42,13.42,13.42,13.303061,0
9/27/2019,13.42,13.42,13.42,13.42,13.303061,0
9/30/2019,13.42,13.42,13.42,13.42,13.303061,0
10/1/2019,13.42,13.42,13.42,13.42,13.303061,0
10/2/2019,13.42,13.42,13.42,13.42,13.303061,100
10/3/2019,13.42,13.42,13.42,13.42,13.303061,0
10/4/2019,13.42,13.42,13.42,13.42,13.303061,0
10/7/2019,13.04,13.04,13.04,13.04,12.926373,100
10/8/2019,13.04,13.04,13.04,13.04,12.926373,0
10/9/2019,13,13,12.97,12.97,12.856982,1000
10/10/2019,12.97,12.97,12.97,12.97,12.856982,0
10/11/2019,12.97,12.97,12.97,12.97,12.856982,0
10/14/2019,13.44,13.44,13.44,13.44,13.322886,100
10/15/2019,13.44,13.44,13.44,13.44,13.322886,100
10/16/2019,13.44,13.44,13.44,13.44,13.322886,0
10/17/2019,13.44,13.44,13.44,13.44,13.322886,0
10/18/2019,13.44,13.44,13.44,13.44,13.322886,100
10/21/2019,13.41,13.41,13.24,13.28,13.164281,700
10/22/2019,13.28,13.28,13.28,13.28,13.164281,0
10/23/2019,13.22,13.22,13.22,13.22,13.104804,200
10/24/2019,13.22,13.22,13.22,13.22,13.104804,0
10/25/2019,13.22,13.22,13.22,13.22,13.104804,100
10/28/2019,13.24,13.24,13.24,13.24,13.124629,1000
10/29/2019,13.52,13.52,13.52,13.52,13.40219,200
10/30/2019,13.52,13.52,13.52,13.52,13.40219,0
10/31/2019,13.52,13.52,13.52,13.52,13.40219,0
11/1/2019,13.52,13.52,13.52,13.52,13.40219,100
11/4/2019,13.52,13.52,13.52,13.52,13.40219,100
11/5/2019,13.75,13.75,13.75,13.75,13.630185,4100
11/6/2019,13.75,13.75,13.75,13.75,13.630185,0
11/7/2019,13.75,13.75,13.75,13.75,13.630185,100
11/8/2019,13.42,13.65,13.42,13.42,13.303061,900
11/11/2019,13.42,13.42,13.42,13.42,13.303061,0
11/12/2019,13.42,13.42,13.42,13.42,13.303061,0
11/13/2019,13.44,13.44,13.44,13.44,13.322886,200
11/14/2019,13.44,13.44,13.44,13.44,13.322886,0
11/15/2019,13.44,13.44,13.44,13.44,13.44,0
11/18/2019,13.34,13.34,13.34,13.34,13.34,100
11/19/2019,13.34,13.34,13.34,13.34,13.34,0
11/20/2019,13.34,13.34,13.34,13.34,13.34,100
11/21/2019,13.35,13.35,13.35,13.35,13.35,100
11/22/2019,13.35,13.35,13.35,13.35,13.35,100
11/25/2019,13.35,13.35,13.35,13.35,13.35,0
11/26/2019,13.35,13.35,13.35,13.35,13.35,0
11/27/2019,13.35,13.35,13.35,13.35,13.35,0
11/29/2019,13.35,13.35,13.35,13.35,13.35,0
12/2/2019,13.35,13.35,13.35,13.35,13.35,100
12/3/2019,13.35,13.35,13.35,13.35,13.35,100
12/4/2019,13.35,13.35,13.35,13.35,13.35,0
12/5/2019,13.01,13.01,13.01,13.01,13.01,100
12/6/2019,13.18,13.18,13.18,13.18,13.18,200
12/9/2019,13.25,13.25,13.1,13.1,13.1,2100
12/10/2019,13.1,13.1,13.09,13.09,13.09,2100
12/11/2019,13.09,13.09,13.09,13.09,13.09,0
12/12/2019,13.38,13.4,13.38,13.4,13.4,200
12/13/2019,13.4,13.4,13.4,13.4,13.4,0
12/16/2019,13.4,13.4,13.4,13.4,13.4,0
12/17/2019,13.4,13.4,13.4,13.4,13.4,0
12/18/2019,13.4,13.4,13.4,13.4,13.4,0
12/19/2019,13.4,13.4,13.4,13.4,13.4,0
12/20/2019,13.4,13.4,13.4,13.4,13.4,0
12/23/2019,13.4,13.4,13.4,13.4,13.4,0
